cpi_category,period,year,month,uom,food_cpi,geo,food_cpi_yoy_change_percent,category_lower,overall_cpi,overall_cpi_yoy_change_percent,food_minus_overall_cpi_growth
Food,2019-04-01,2019,4,2002=100,149.0,Canada,2.900552486187835,food,136.0,2.025506376594133,0.8750461095937023
Food,2019-05-01,2019,5,2002=100,149.7,Canada,3.526970954356834,food,136.6,2.398800599700146,1.128170354656688
Food,2019-06-01,2019,6,2002=100,150.7,Canada,3.5027472527472403,food,136.3,2.020958083832358,1.481789168914882
Food,2019-07-01,2019,7,2002=100,151.6,Canada,3.7645448323066377,food,137.0,2.010424422933732,1.7541204093729057
Food,2019-08-01,2019,8,2002=100,151.1,Canada,3.564084989718985,food,136.8,1.9374068554396608,1.626678134279324
Food,2019-09-01,2019,9,2002=100,150.2,Canada,3.657694962042779,food,136.2,1.8698578908002967,1.7878370712424823
Food,2019-10-01,2019,10,2002=100,149.9,Canada,3.665283540802222,food,136.6,1.864280387770312,1.8010031530319102
Food,2019-11-01,2019,11,2002=100,151.1,Canada,3.422313483915129,food,136.4,2.1722846441947663,1.2500288397203625
Food,2019-12-01,2019,12,2002=100,151.9,Canada,2.9830508474576245,food,136.4,2.2488755622188883,0.7341752852387362
Food,2020-01-01,2020,1,2002=100,153.5,Canada,3.227975790181592,food,136.8,2.3952095808383422,0.8327662093432497
Food,2020-02-01,2020,2,2002=100,152.9,Canada,2.4112525117213623,food,137.4,2.1561338289962872,0.2551186827250751
Food,2020-03-01,2020,3,2002=100,152.8,Canada,2.27576974564927,food,136.6,0.8862629246676468,1.389506820981623
Food,2020-04-01,2020,4,2002=100,154.0,Canada,3.3557046979865834,food,135.7,-0.2205882352941279,3.5762929332807114
Food,2020-05-01,2020,5,2002=100,154.3,Canada,3.072812291249183,food,136.1,-0.3660322108345548,3.4388445020837377
Food,2020-06-01,2020,6,2002=100,154.8,Canada,2.720637027206396,food,137.2,0.6603081438004255,2.0603288834059708
Food,2020-07-01,2020,7,2002=100,155.0,Canada,2.242744063324542,food,137.2,0.1459854014598471,2.096758661864695
Food,2020-08-01,2020,8,2002=100,153.8,Canada,1.786896095301138,food,137.0,0.1461988304093386,1.6406972648917992
Food,2020-09-01,2020,9,2002=100,152.6,Canada,1.5978695073235685,food,136.9,0.5139500734214542,1.0839194339021143
Food,2020-10-01,2020,10,2002=100,153.3,Canada,2.2681787858572333,food,137.5,0.6588579795022032,1.6093208063550302
Food,2020-11-01,2020,11,2002=100,153.9,Canada,1.8530774321641408,food,137.7,0.9530791788856074,0.8999982532785333
Food,2020-12-01,2020,12,2002=100,153.6,Canada,1.119157340355481,food,137.4,0.7331378299120228,0.3860195104434583
Food,2021-01-01,2021,1,2002=100,155.0,Canada,0.9771986970684045,food,138.2,1.0233918128654818,-0.0461931157970773
Food,2021-02-01,2021,2,2002=100,155.6,Canada,1.7658600392413293,food,138.9,1.091703056768556,0.6741569824727733
Food,2021-03-01,2021,3,2002=100,155.5,Canada,1.7670157068062853,food,139.6,2.196193265007329,-0.42917755820104375
Food,2021-04-01,2021,4,2002=100,155.4,Canada,0.9090909090909038,food,140.3,3.389830508474589,-2.480739599383685
Food,2021-05-01,2021,5,2002=100,156.6,Canada,1.490602721970169,food,141.0,3.6002939015429947,-2.1096911795728257
Food,2021-06-01,2021,6,2002=100,156.8,Canada,1.2919896640826822,food,141.4,3.061224489795933,-1.7692348257132506
Food,2021-07-01,2021,7,2002=100,157.6,Canada,1.6774193548387162,food,142.3,3.717201166180773,-2.0397818113420567
Food,2021-08-01,2021,8,2002=100,158.0,Canada,2.730819245773719,food,142.6,4.0875912408758985,-1.3567719951021795
Food,2021-09-01,2021,9,2002=100,158.5,Canada,3.8663171690694655,food,142.9,4.382761139517899,-0.5164439704484334
Food,2021-10-01,2021,10,2002=100,159.2,Canada,3.848662752772336,food,143.9,4.654545454545467,-0.8058827017731307
Food,2021-11-01,2021,11,2002=100,160.7,Canada,4.418453541260559,food,144.2,4.720406681191003,-0.30195313993044426
Food,2021-12-01,2021,12,2002=100,161.6,Canada,5.208333333333326,food,144.0,4.80349344978166,0.40483988355166556
Food,2022-01-01,2022,1,2002=100,163.9,Canada,5.741935483870964,food,145.3,5.137481910274988,0.6044535735959764
Food,2022-02-01,2022,2,2002=100,166.0,Canada,6.683804627249357,food,146.8,5.687544996400296,0.9962596308490603
Food,2022-03-01,2022,3,2002=100,167.5,Canada,7.717041800643076,food,148.9,6.6618911174785245,1.0551506831645519
Food,2022-04-01,2022,4,2002=100,169.0,Canada,8.751608751608742,food,149.8,6.77120456165361,1.9804041899551326
Food,2022-05-01,2022,5,2002=100,170.4,Canada,8.812260536398476,food,151.9,7.730496453900715,1.0817640824977612
Food,2022-06-01,2022,6,2002=100,170.6,Canada,8.801020408163263,food,152.9,8.13295615275813,0.6680642554051328
Food,2022-07-01,2022,7,2002=100,172.1,Canada,9.200507614213205,food,153.1,7.589599437807437,1.6109081764057676
Food,2022-08-01,2022,8,2002=100,173.5,Canada,9.810126582278489,food,152.6,7.012622720897621,2.797503861380868
Food,2022-09-01,2022,9,2002=100,174.8,Canada,10.283911671924306,food,152.7,6.857942617214818,3.425969054709488
Food,2022-10-01,2022,10,2002=100,175.2,Canada,10.050251256281406,food,153.8,6.879777623349548,3.1704736329318584
Food,2022-11-01,2022,11,2002=100,177.3,Canada,10.329807093963916,food,154.0,6.796116504854388,3.5336905891095283
Food,2022-12-01,2022,12,2002=100,177.9,Canada,10.086633663366351,food,153.1,6.319444444444433,3.767189218921918
Food,2023-01-01,2023,1,2002=100,181.0,Canada,10.433190970103713,food,153.9,5.918788713007572,4.51440225709614
Food,2023-02-01,2023,2,2002=100,182.1,Canada,9.698795180722897,food,154.5,5.245231607629419,4.4535635730934775
Food,2023-03-01,2023,3,2002=100,182.4,Canada,8.895522388059707,food,155.3,4.298186702484896,4.59733568557481
Food,2023-04-01,2023,4,2002=100,183.1,Canada,8.343195266272186,food,156.4,4.4058744993324295,3.9373207669397567
Food,2023-05-01,2023,5,2002=100,184.6,Canada,8.333333333333325,food,157.0,3.357472021066488,4.9758613122668365
Food,2023-06-01,2023,6,2002=100,184.8,Canada,8.32356389214537,food,157.2,2.8122956180510084,5.511268274094361
Food,2023-07-01,2023,7,2002=100,185.5,Canada,7.786170830912265,food,158.1,3.2658393207054104,4.520331510206854
Food,2023-08-01,2023,8,2002=100,185.3,Canada,6.80115273775217,food,158.7,3.997378768020976,2.8037739697311936
Food,2023-09-01,2023,9,2002=100,185.2,Canada,5.949656750572063,food,158.5,3.798297314996724,2.151359435575339
Food,2023-10-01,2023,10,2002=100,185.0,Canada,5.593607305936077,food,158.6,3.1209362808842567,2.4726710250518202
Food,2023-11-01,2023,11,2002=100,186.2,Canada,5.019740552735463,food,158.8,3.116883116883118,1.9028574358523453
Food,2023-12-01,2023,12,2002=100,186.8,Canada,5.002810567734684,food,158.3,3.396472893533642,1.6063376742010425
Food,2024-01-01,2024,1,2002=100,188.1,Canada,3.922651933701649,food,158.3,2.85899935022742,1.0636525834742292
Food,2024-02-01,2024,2,2002=100,188.1,Canada,3.294892915980241,food,158.8,2.783171521035599,0.511721394944642
Food,2024-03-01,2024,3,2002=100,187.8,Canada,2.960526315789469,food,159.8,2.8976175144880933,0.06290880130137566
Food,2024-04-01,2024,4,2002=100,187.4,Canada,2.348443473511752,food,160.6,2.6854219948849067,-0.33697852137315465
Food,2024-05-01,2024,5,2002=100,189.0,Canada,2.383531960996743,food,161.5,2.866242038216571,-0.48271007721982784
Food,2024-06-01,2024,6,2002=100,190.0,Canada,2.813852813852802,food,161.4,2.6717557251908497,0.14209708866195214
Food,2024-07-01,2024,7,2002=100,190.5,Canada,2.695417789757415,food,162.1,2.5300442757748343,0.1653735139825807
Food,2024-08-01,2024,8,2002=100,190.3,Canada,2.698327037236914,food,161.8,1.953371140516702,0.7449558967202119
Food,2024-09-01,2024,9,2002=100,190.3,Canada,2.7537796976242035,food,161.1,1.6403785488958933,1.1134011487283102
Food,2024-10-01,2024,10,2002=100,190.5,Canada,2.972972972972965,food,161.8,2.0176544766708826,0.9553184963020822
Food,2024-11-01,2024,11,2002=100,191.5,Canada,2.84640171858217,food,161.8,1.889168765743077,0.957232952839093
Food,2024-12-01,2024,12,2002=100,188.0,Canada,0.6423982869379063,food,161.2,1.831964624131377,-1.1895663371934706
Food,2025-01-01,2025,1,2002=100,187.0,Canada,-0.5847953216374213,food,161.3,1.8951358180669509,-2.479931139704372
Food,2025-02-01,2025,2,2002=100,190.5,Canada,1.2759170653907637,food,163.0,2.644836272040285,-1.3689192066495215
Food,2025-03-01,2025,3,2002=100,193.8,Canada,3.194888178913735,food,163.5,2.3153942428034924,0.8794939361102427
Food,2025-04-01,2025,4,2002=100,194.5,Canada,3.788687299893279,food,163.4,1.7434620174346271,2.045225282458652
Food,2025-05-01,2025,5,2002=100,195.4,Canada,3.3862433862433816,food,164.3,1.7337461300309664,1.6524972562124152
